--2021-04-24 18:19:29--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 2001:67c:1562::28, 2001:67c:1360:8001::34, 2001:67c:1360:8001::33, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|2001:67c:1562::28|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

420864K ........ ........ ........ ........ ........ ........ 15% 4,26M 8m41s
423936K ........ ........ ........ ........ ........ ........ 15% 7,89M 8m38s
427008K ........ ........ ........ ........ ........ ........ 15% 5,56M 8m37s
430080K ........ ........ ........ ........ ........ ........ 15% 5,01M 8m36s
433152K ........ ........ ........ ........ ........ ........ 15% 4,39M 8m35s
436224K ........ ........ ........ ........ ........ ........ 15% 3,97M 8m35s
439296K ........ ........ ........ ........ ........ ........ 15% 4,45M 8m34s
442368K ........ ........ ........ ........ ........ ........ 15% 6,01M 8m33s
445440K ........ ........ ........ ........ ........ ........ 15% 6,57M 8m31s
448512K ........ ........ ........ ........ ........ ........ 16% 5,44M 8m30s
451584K ........ ........ ........ ........ ........ ........ 16% 3,10M 8m31s
454656K ........ ........ ........ ........ ........ ........ 16% 7,54M 8m29s
457728K ........ ........ ........ ........ ........ ........ 16% 3,99M 8m29s
460800K ........ ........ ........ ........ ........ ........ 16% 4,25M 8m28s
463872K ........ ........ ........ ........ ........ ........ 16% 8,64M 8m26s
466944K ........ ........ ........ ........ ........ ........ 16% 5,45M 8m25s
470016K ........ ........ ........ ........ ........ ........ 16% 3,87M 8m24s
473088K ........ ........ ........ ........ ........ ........ 16% 5,63M 8m23s
476160K ........ ........ ........ ........ ........ ........ 17% 8,44M 8m21s
479232K ........ ........ ........ ........ ........ ........ 17% 4,22M 8m21s
482304K ........ ........ ........ ........ ........ ........ 17% 2,87M 8m22s
485376K ........ ........ ........ ........ ........ ........ 17% 2,41M 8m24s
488448K ........ ........ ........ ........ ........ ........ 17% 4,77M 8m23s
491520K ........ ........ ........ ........ ........ ........ 17% 2,76M 8m24s
494592K ........ ........ ........ ........ ........ ........ 17% 2,42M 8m26s
497664K ........ ........ ........ ........ ........ ........ 17% 4,60M 8m26s
500736K ........ ........ ........ ........ ........ ........ 17% 3,55M 8m26s
503808K ........ ........ ........ ........ ........ ........ 18% 2,73M 8m27s
506880K ........ ........ ........ ........ ........ ........ 18% 3,58M 8m27s
509952K ........ ........ ........ ........ ........ ........ 18% 3,30M 8m27s
513024K ........ ........ ........ ........ ........ ........ 18% 2,82M 8m28s
516096K ........ ........ ........ ........ ........ ........ 18% 4,25M 8m28s
519168K ........ ........ ........ ........ ........ ........ 18% 2,66M 8m29s
522240K ........ ........ ........ ........ ........ ........ 18% 2,72M 8m30s
525312K ........ ........ ........ ........ ........ ........ 18% 2,71M 8m31s
528384K ........ ........ ........ ........ ........ ........ 18% 3,56M 8m31s
531456K ........ ........ ........ ........ ........ ........ 19% 2,63M 8m33s
534528K ........ ........ ........ ........ ........ ........ 19% 3,50M 8m33s
537600K ........ ........ ........ ........ ........ ........ 19% 3,21M 8m33s
540672K ........ ........ ........ ........ ........ ........ 19% 4,61M 8m32s
543744K ........ ........ ........ ........ ........ ........ 19% 3,12M 8m32s
