--2021-04-24 18:28:22--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 91.189.91.123, 91.189.88.248, 91.189.88.247, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|91.189.91.123|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

374784K ........ ........ ........ ........ ........ ........ 13% 9,33M 7m29s
377856K ........ ........ ........ ........ ........ ........ 13% 4,69M 7m29s
380928K ........ ........ ........ ........ ........ ........ 13% 4,79M 7m29s
384000K ........ ........ ........ ........ ........ ........ 13% 4,69M 7m29s
387072K ........ ........ ........ ........ ........ ........ 13% 8,36M 7m27s
390144K ........ ........ ........ ........ ........ ........ 13% 5,69M 7m26s
393216K ........ ........ ........ ........ ........ ........ 14% 5,13M 7m26s
396288K ........ ........ ........ ........ ........ ........ 14% 4,86M 7m25s
399360K ........ ........ ........ ........ ........ ........ 14% 7,73M 7m24s
402432K ........ ........ ........ ........ ........ ........ 14% 4,35M 7m24s
405504K ........ ........ ........ ........ ........ ........ 14% 1,89M 7m29s
408576K ........ ........ ........ ........ ........ ........ 14% 11,0M 7m27s
411648K ........ ........ ........ ........ ........ ........ 14% 3,82M 7m28s
414720K ........ ........ ........ ........ ........ ........ 14% 4,60M 7m27s
417792K ........ ........ ........ ........ ........ ........ 14% 5,52M 7m27s
420864K ........ ........ ........ ........ ........ ........ 15% 7,07M 7m25s
423936K ........ ........ ........ ........ ........ ........ 15% 5,23M 7m25s
427008K ........ ........ ........ ........ ........ ........ 15% 7,22M 7m23s
430080K ........ ........ ........ ........ ........ ........ 15% 3,68M 7m24s
433152K ........ ........ ........ ........ ........ ........ 15% 5,54M 7m23s
436224K ........ ........ ........ ........ ........ ........ 15% 8,26M 7m22s
439296K ........ ........ ........ ........ ........ ........ 15% 4,36M 7m22s
442368K ........ ........ ........ ........ ........ ........ 15% 7,86M 7m20s
445440K ........ ........ ........ ........ ........ ........ 15% 4,00M 7m20s
448512K ........ ........ ........ ........ ........ ........ 16% 6,84M 7m19s
451584K ........ ........ ........ ........ ........ ........ 16% 4,23M 7m19s
454656K ........ ........ ........ ........ ........ ........ 16% 4,46M 7m19s
457728K ........ ........ ........ ........ ........ ........ 16% 2,67M 7m21s
460800K ........ ........ ........ ........ ........ ........ 16% 4,45M 7m21s
463872K ........ ........ ........ ........ ........ ........ 16% 4,70M 7m21s
466944K ........ ........ ........ ........ ........ ........ 16% 6,93M 7m20s
470016K ........ ........ ........ ........ ........ ........ 16% 5,67M 7m19s
473088K ........ ........ ........ ........ ........ ........ 16% 4,65M 7m19s
476160K ........ ........ ........ ........ ........ ........ 17% 4,87M 7m18s
479232K ........ ........ ........ ........ ........ ........ 17% 3,34M 7m19s
482304K ........ ........ ........ ........ ........ ........ 17% 12,3M 7m17s
485376K ........ ........ ........ ........ ........ ........ 17% 4,15M 7m17s
488448K ........ ........ ........ ........ ........ ........ 17% 5,05M 7m17s
491520K ........ ........ ........ ........ ........ ........ 17% 3,13M 7m18s
494592K ........ ........ ........ ........ ........ ........ 17% 9,41M 7m16s
497664K ........ ........ ........ ........ ........ ........ 17% 3,18M 7m17s
500736K ........ ........ ........ ........ ........ ........ 17% 10,0M 7m15s
503808K ........ ........ ........ ........ ........ ........ 18% 3,84M 7m16s
506880K ........ ........ ........ ........ ........ ........ 18% 9,50M 7m14s
509952K ........ ........ ........ ........ ........ ........ 18% 2,50M 7m16s
513024K ........ ........ ........ ........ ........ ........ 18% 9,49M 7m14s
516096K ........ ........ ........ ........ ........ ........ 18% 3,52M 7m15s
519168K ........ ........ ........ ........ ........ ........ 18% 3,65M 7m15s
522240K ........ ........ ........ ........ ........ ........ 18% 8,81M 7m14s
525312K ........ ........ ........ ........ ........ ........ 18% 4,43M 7m14s
528384K ........ ........ ........ ........ ........ ........ 18% 4,09M 7m14s
531456K ........ ........ ........ ........ ........ ........ 19% 6,55M 7m13s
534528K ........ ........ ........ ........ ........ ........ 19% 6,70M 7m11s
537600K ........ ........ ........ ........ ........ ........ 19% 5,65M 7m11s
540672K ........ ........ ........ ........ ........ ........ 19% 3,65M 7m11s
543744K ........ ........ ........ ........ ........ ........ 19% 7,85M 7m10s
546816K ........ ........ ........ ........ ........ ........ 19% 5,48M 7m9s
549888K ........ ........ ........ ........ ........ ........ 19% 5,20M 7m8s
552960K ........ ........ ........ ........ ........ ........ 19% 5,09M 7m8s
556032K ........ ........ ........ ........ ........ ........ 19% 3,66M 7m8s
559104K ........ ........ ........ ........ ........ ........ 20% 9,55M 7m6s
562176K ........ ........ ........ ........ ........ ........ 20% 2,99M 7m7s
565248K ........ ........ ........ ........ ........ ........ 20% 5,67M 7m7s
568320K ........ ........ ........ ........ ........ ........ 20% 4,08M 7m7s
571392K ........ ........ ........ ........ ........ ........ 20% 9,03M 7m5s
574464K ........ ........ ........ ........ ........ ........ 20% 4,07M 7m5s
577536K ........ ........ ........ ........ ........ ........ 20% 8,81M 7m4s
580608K ........ ........ ........ ........ ........ ........ 20% 5,30M 7m3s
583680K ........ ........ ........ ........ ........ ........ 20% 2,91M 7m4s
586752K ........ ........ ........ ........ ........ ........ 20% 6,82M 7m3s
589824K ........ ........ ........ ........ ........ ........ 21% 3,90M 7m3s
592896K ........ ........ ........ ........ ........ ........ 21% 4,01M 7m3s
595968K ........ ........ ........ ........ ........ ........ 21% 4,46M 7m3s
599040K ........ ........ ........ ........ ........ ........ 21% 3,55M 7m3s
602112K ........ ........ ........ ........ ........ ........ 21% 13,7M 7m1s
605184K ........ ........ ........ ........ ........ ........ 21% 4,31M 7m1s
608256K ........ ........ ........ ........ ........ ........ 21% 3,89M 7m1s
611328K ........ ........ ........ ........ ........ ........ 21% 6,05M 7m0s
614400K ........ ........ ........ ........ ........ ........ 21% 4,40M 7m0s
617472K ........ ........ ........ ........ ........ ........ 22% 5,10M 6m59s
620544K ........ ........ ........ ........ ........ ........ 22% 5,24M 6m59s
623616K ........ ........ ........ ........ ........ ........ 22% 4,15M 6m58s
626688K ........ ........ ........ ........ ........ ........ 22% 8,50M 6m57s
629760K ........ ........ ........ ........ ........ ........ 22% 4,54M 6m57s
632832K ........ ........ ........ ........ ........ ........ 22% 4,57M 6m56s
635904K ........ ........ ........ ........ ........ ........ 22% 3,52M 6m57s
638976K ........ ........ ........ ........ ........ ........ 22% 5,75M 6m56s
642048K ........ ........ ........ ........ ........ ........ 22% 3,81M 6m56s
645120K ........ ........ ........ ........ ........ ........ 23% 7,31M 6m55s
648192K ........ ........ ........ ........ ........ ........ 23% 4,95M 6m54s
651264K ........ ........ ........ ........ ........ ........ 23% 6,65M 6m53s
654336K ........ ........ ........ ........ ........ ........ 23% 4,34M 6m53s
657408K ........ ........ ........ ........ ........ ........ 23% 3,89M 6m53s
660480K ........ ........ ........ ........ ........ ........ 23% 10,8M 6m51s
663552K ........ ........ ........ ........ ........ ........ 23% 4,09M 6m51s
666624K ........ ........ ........ ........ ........ ........ 23% 3,25M 6m52s
669696K ........ ........ ........ ........ ........ ........ 23% 8,39M 6m50s
672768K ........ ........ ........ ........ ........ ........ 24% 4,80M 6m50s
675840K ........ ........ ........ ........ ........ ........ 24% 2,96M 6m51s
678912K ........ ........ ........ ........ ........ ........ 24% 9,34M 6m49s
681984K ........ ........ ........ ........ ........ ........ 24% 4,69M 6m49s
685056K ........ ........ ........ ........ ........ ........ 24% 5,41M 6m48s
688128K ........ ........ ........ ........ ........ ........ 24% 3,56M 6m48s
691200K ........ ........ ........ ........ ........ ........ 24% 4,54M 6m48s
694272K ........ ........ ........ ........ ........ ........ 24% 4,57M 6m47s
697344K ........ ........ ........ ........ ........ ........ 24% 6,38M 6m46s
700416K ........ ........ ........ ........ ........ ........ 25% 5,97M 6m46s
703488K ........ ........ ........ ........ ........ ........ 25% 6,72M 6m45s
706560K ........ ........ ........ ........ ........ ........ 25% 5,57M 6m44s
709632K ........ ........ ........ ........ ........ ........ 25% 4,13M 6m44s
712704K ........ ........ ........ ........ ........ ........ 25% 4,93M 6m43s
715776K ........ ........ ........ ........ ........ ........ 25% 4,47M 6m43s
718848K ........ ........ ........ ........ ........ ........ 25% 6,35M 6m42s
721920K ........ ........ ........ ........ ........ ........ 25% 4,28M 6m42s
724992K ........ ........ ........ ........ ........ ........ 25% 5,46M 6m41s
728064K ........ ........ ........ ........ ........ ........ 26% 3,84M 6m41s
731136K ........ ........ ........ ........ ........ ........ 26% 9,73M 6m39s
734208K ........ ........ ........ ........ ........ ........ 26% 5,16M 6m39s
737280K ........ ........ ........ ........ ........ ........ 26% 3,10M 6m39s
740352K ........ ........ ........ ........ ........ ........ 26% 9,70M 6m38s
743424K ........ ........ ........ ........ ........ ........ 26% 2,46M 6m39s
746496K ........ ........ ........ ........ ........ ........ 26% 3,75M 6m39s
749568K ........ ........ ........ ........ ........ ........ 26% 8,43M 6m38s
752640K ........ ........ ........ ........ ........ ........ 26% 5,67M 6m37s
755712K ........ ........ ........ ........ ........ ........ 27% 5,66M 6m36s
758784K ........ ........ ........ ........ ........ ........ 27% 4,61M 6m36s
761856K ........ ........ ........ ........ ........ ........ 27% 3,14M 6m36s
764928K ........ ........ ........ ........ ........ ........ 27% 5,85M 6m35s
768000K ........ ........ ........ ........ ........ ........ 27% 9,87M 6m34s
771072K ........ ........ ........ ........ ........ ........ 27% 4,10M 6m34s
774144K ........ ........ ........ ........ ........ ........ 27% 5,17M 6m33s
777216K ........ ........ ........ ........ ........ ........ 27% 5,68M 6m32s
780288K ........ ........ ........ ........ ........ ........ 27% 4,07M 6m32s
783360K ........ ........ ........ ........ ........ ........ 27% 8,24M 6m31s
786432K ........ ........ ........ ........ ........ ........ 28% 4,93M 6m30s
789504K ........ ........ ........ ........ ........ ........ 28% 4,83M 6m30s
792576K ........ ........ ........ ........ ........ ........ 28% 4,21M 6m30s
795648K ........ ........ ........ ........ ........ ........ 28% 4,13M 6m29s
798720K ........ ........ ........ ........ ........ ........ 28% 4,15M 6m29s
801792K ........ ........ ........ ........ ........ ........ 28% 7,06M 6m28s
804864K ........ ........ ........ ........ ........ ........ 28% 5,13M 6m27s
807936K ........ ........ ........ ........ ........ ........ 28% 4,44M 6m27s
811008K ........ ........ ........ ........ ........ ........ 28% 3,93M 6m27s
814080K ........ ........ ........ ........ ........ ........ 29% 6,70M 6m26s
817152K ........ ........ ........ ........ ........ ........ 29% 3,83M 6m26s
820224K ........ ........ ........ ........ ........ ........ 29% 8,36M 6m25s
823296K ........ ........ ........ ........ ........ ........ 29% 3,74M 6m24s
826368K ........ ........ ........ ........ ........ ........ 29% 3,91M 6m24s
829440K ........ ........ ........ ........ ........ ........ 29% 5,76M 6m23s
