--2021-04-24 20:04:53--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 91.189.88.247, 91.189.88.248, 91.189.91.123, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|91.189.88.247|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

371712K ........ ........ ........ ........ ........ ........ 13% 3,48M 9m8s
374784K ........ ........ ........ ........ ........ ........ 13% 2,76M 9m10s
377856K ........ ........ ........ ........ ........ ........ 13% 6,87M 9m8s
380928K ........ ........ ........ ........ ........ ........ 13% 4,25M 9m7s
384000K ........ ........ ........ ........ ........ ........ 13% 3,47M 9m8s
387072K ........ ........ ........ ........ ........ ........ 13% 4,77M 9m7s
390144K ........ ........ ........ ........ ........ ........ 13% 6,39M 9m5s
393216K ........ ........ ........ ........ ........ ........ 14% 4,14M 9m4s
396288K ........ ........ ........ ........ ........ ........ 14% 6,15M 9m2s
399360K ........ ........ ........ ........ ........ ........ 14% 4,23M 9m2s
402432K ........ ........ ........ ........ ........ ........ 14% 3,72M 9m2s
405504K ........ ........ ........ ........ ........ ........ 14% 6,17M 9m0s
408576K ........ ........ ........ ........ ........ ........ 14% 4,18M 8m59s
411648K ........ ........ ........ ........ ........ ........ 14% 3,79M 8m59s
414720K ........ ........ ........ ........ ........ ........ 14% 6,40M 8m57s
417792K ........ ........ ........ ........ ........ ........ 14% 3,52M 8m57s
420864K ........ ........ ........ ........ ........ ........ 15% 3,42M 8m58s
423936K ........ ........ ........ ........ ........ ........ 15% 3,87M 8m57s
427008K ........ ........ ........ ........ ........ ........ 15% 7,37M 8m55s
430080K ........ ........ ........ ........ ........ ........ 15% 3,67M 8m55s
433152K ........ ........ ........ ........ ........ ........ 15% 3,23M 8m56s
436224K ........ ........ ........ ........ ........ ........ 15% 7,68M 8m53s
439296K ........ ........ ........ ........ ........ ........ 15% 4,31M 8m53s
442368K ........ ........ ........ ........ ........ ........ 15% 7,74M 8m50s
445440K ........ ........ ........ ........ ........ ........ 15% 4,08M 8m50s
448512K ........ ........ ........ ........ ........ ........ 16% 4,81M 8m49s
451584K ........ ........ ........ ........ ........ ........ 16% 6,27M 8m47s
454656K ........ ........ ........ ........ ........ ........ 16% 2,60M 8m49s
457728K ........ ........ ........ ........ ........ ........ 16% 8,59M 8m46s
460800K ........ ........ ........ ........ ........ ........ 16% 3,57M 8m46s
463872K ........ ........ ........ ........ ........ ........ 16% 3,75M 8m46s
466944K ........ ........ ........ ........ ........ ........ 16% 10,6M 8m44s
470016K ........ ........ ........ ........ ........ ........ 16% 3,87M 8m43s
473088K ........ ........ ........ ........ ........ ........ 16% 5,09M 8m42s
476160K ........ ........ ........ ........ ........ ........ 17% 6,11M 8m41s
479232K ........ ........ ........ ........ ........ ........ 17% 4,07M 8m40s
482304K ........ ........ ........ ........ ........ ........ 17% 3,84M 8m40s
485376K ........ ........ ........ ........ ........ ........ 17% 7,62M 8m38s
488448K ........ ........ ........ ........ ........ ........ 17% 4,12M 8m37s
491520K ........ ........ ........ ........ ........ ........ 17% 3,66M 8m37s
494592K ........ ........ ........ ........ ........ ........ 17% 8,83M 8m35s
497664K ........ ........ ........ ........ ........ ........ 17% 4,15M 8m34s
500736K ........ ........ ........ ........ ........ ........ 17% 2,84M 8m35s
503808K ........ ........ ........ ........ ........ ........ 18% 9,91M 8m33s
506880K ........ ........ ........ ........ ........ ........ 18% 3,80M 8m33s
509952K ........ ........ ........ ........ ........ ........ 18% 4,49M 8m32s
513024K ........ ........ ........ ........ ........ ........ 18% 8,42M 8m30s
516096K ........ ........ ........ ........ ........ ........ 18% 3,77M 8m30s
519168K ........ ........ ........ ........ ........ ........ 18% 4,38M 8m29s
522240K ........ ........ ........ ........ ........ ........ 18% 9,48M 8m27s
525312K ........ ........ ........ ........ ........ ........ 18% 5,51M 8m26s
528384K ........ ........ ........ ........ ........ ........ 18% 4,15M 8m25s
531456K ........ ........ ........ ........ ........ ........ 19% 2,49M 8m27s
534528K ........ ........ ........ ........ ........ ........ 19% 7,73M 8m25s
537600K ........ ........ ........ ........ ........ ........ 19% 5,67M 8m23s
540672K ........ ........ ........ ........ ........ ........ 19% 5,53M 8m22s
543744K ........ ........ ........ ........ ........ ........ 19% 4,51M 8m21s
546816K ........ ........ ........ ........ ........ ........ 19% 3,76M 8m21s
549888K ........ ........ ........ ........ ........ ........ 19% 6,33M 8m20s
552960K ........ ........ ........ ........ ........ ........ 19% 4,10M 8m19s
556032K ........ ........ ........ ........ ........ ........ 19% 4,01M 8m19s
559104K ........ ........ ........ ........ ........ ........ 20% 3,03M 8m19s
562176K ........ ........ ........ ........ ........ ........ 20% 7,62M 8m17s
565248K ........ ........ ........ ........ ........ ........ 20% 5,65M 8m16s
568320K ........ ........ ........ ........ ........ ........ 20% 3,84M 8m16s
571392K ........ ........ ........ ........ ........ ........ 20% 6,08M 8m14s
574464K ........ ........ ........ ........ ........ ........ 20% 4,37M 8m14s
577536K ........ ........ ........ ........ ........ ........ 20% 2,64M 8m15s
580608K ........ ........ ........ ........ ........ ........ 20% 4,62M 8m14s
583680K ........ ........ ........ ........ ........ ........ 20% 8,60M 8m12s
586752K ........ ........ ........ ........ ........ ........ 20% 3,93M 8m12s
589824K ........ ........ ........ ........ ........ ........ 21% 4,15M 8m11s
592896K ........ ........ ........ ........ ........ ........ 21% 7,37M 8m10s
595968K ........ ........ ........ ........ ........ ........ 21% 3,49M 8m10s
599040K ........ ........ ........ ........ ........ ........ 21% 5,98M 8m8s
602112K ........ ........ ........ ........ ........ ........ 21% 5,67M 8m7s
605184K ........ ........ ........ ........ ........ ........ 21% 3,70M 8m7s
608256K ........ ........ ........ ........ ........ ........ 21% 7,25M 8m5s
611328K ........ ........ ........ ........ ........ ........ 21% 5,61M 8m4s
614400K ........ ........ ........ ........ ........ ........ 21% 2,73M 8m5s
617472K ........ ........ ........ ........ ........ ........ 22% 9,31M 8m3s
620544K ........ ........ ........ ........ ........ ........ 22% 5,61M 8m2s
623616K ........ ........ ........ ........ ........ ........ 22% 3,36M 8m2s
626688K ........ ........ ........ ........ ........ ........ 22% 7,28M 8m0s
629760K ........ ........ ........ ........ ........ ........ 22% 3,42M 8m0s
632832K ........ ........ ........ ........ ........ ........ 22% 10,1M 7m58s
